tweet_count,user_id,username,text,created_at
29,1434310524506832898,DF,"Banjir Sumatera, Bencana atau Musibah? 
~ Ustadz Das'ad Latif

Do'akan untuk Saudara-saudari kita di Sumatera 🤲 https://t.co/hZzY9BBOzy",Thu Dec 18 04:23:59 +0000 2025
30,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"PM Malaysia 🇲🇾 turut prihatin terhadap kondisi Aceh paska Bencana Banjir Sumatera. Pesan PM Malaysia ke Mualem: ""Kami siap Bantu"". 

Lebih dari 12 Negara dan termasuk banyak organisasi internasional siap bantu Aceh. Mereka menunggu Jakarta memberikan lampu hijau. 

🌀 Banjir Aceh https://t.co/3vH4qOWwF6",Mon Dec 15 08:43:19 +0000 2025
31,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Menolak bantuan luar negeri bukanlah tanda kedaulatan,
melainkan memindahkan beban krisis kepada rakyat sendiri.

Pada akhir November 2025, banjir bandang dan longsor besar melanda Aceh, Sumatera Utara, dan Sumatera Barat, menewaskan ratusan orang, merusak ribuan rumah, https://t.co/gqc7Ng3MbG",Wed Dec 17 04:05:30 +0000 2025
32,138290629,Divisi Humas Polri,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta.

Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak.

Bantuan https://t.co/vadIOpfLCy",Sun Dec 21 06:33:03 +0000 2025
33,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Hutan 🌳🌳🌳 Sumatera lenyap. Data Kompas (1990–2024): Aceh, Sumut, Sumbar kehilangan ±1,2 juta ha hutan—rata-rata 36.305 ha/tahun (≈ 100 ha/hari). Penyebab utama: alih fungsi lahan &amp; ekspansi sawit, lemahnya penegakan hukum.
Akibatnya nyata: banjir bandang, longsor, habitat https://t.co/6dI5yx11qj",Mon Dec 22 01:57:37 +0000 2025
34,1158355819512991747,Narasi Newsroom,"Sekretaris Kabinet (Seskab), Teddy Indra Wijaya, menyoroti pihak-pihak tertentu yang masih mempermasalahkan banjir bandang dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat, tidak diterapkan status bencana nasional oleh pemerintah pusat.

Padahal, menurutnya, penanganan https://t.co/sojZhYNSGJ",Fri Dec 19 09:53:48 +0000 2025
35,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Demo di tengah bencana. Warga Aceh menuntut pemerintah pusat menetapkan banjir Aceh–Sumatera sebagai bencana nasional karena dampaknya meluas, melampaui kapasitas daerah, merusak ribuan rumah, memicu pengungsian massal, dan melumpuhkan infrastruktur vital. Lambatnya bantuan serta https://t.co/bvdTUEV6h9",Wed Dec 17 09:48:15 +0000 2025
36,224431376,5tePh3N,"Kepala BGN benarkan main golf, tapi buat Galang dana Sumatra, silahkan komentarnya buat kepala BGN yang sangat peduli dengan korban banjir Sumatera https://t.co/mzEvJtTxhj",Thu Dec 18 11:05:35 +0000 2025
37,1451692249918570497,PeJaBaT,"Muhammadiyah akan tempuh Jalur Hukum, apabila Negara Tidak Menetapkan Bencana Banjir Sumatera sebagai Bencana Nasional... https://t.co/rOhTNf1MV6",Sun Dec 21 21:51:50 +0000 2025
38,2194068895,Irfan_newboys🇲🇾🇵🇸🏳️🏴,"Antara kesan kemusnahan banjir di Sumatra Indonesia 

Setakat ini 1,016 orang sudah terbunuh, 7,600 cedera dan 212 masih hilang di Utara Sumatera, Barat Sumatera dan Acheh

Gabenor Acheh Muzakir Manaf meminta bantuan PBB untuk memberi bantuan kemanusiaan dengan segera https://t.co/5rendrpbqD",Tue Dec 16 04:36:19 +0000 2025
39,1519274748748124160,Wandy Sitinjak(Si Raja Sonang),Mana nih mulut yang bilang banjir Sumatera hanya seram di Medsos ? https://t.co/Y92nWDK2z6,Sun Dec 14 04:24:26 +0000 2025
